mate,cycle,mean_phred,q30_percent
R1,1,32.6996,97.2400
R1,2,32.9646,97.3600
R1,3,32.9926,97.0200
R1,4,36.3828,98.8800
R1,5,36.2926,98.4600
R1,6,36.2506,98.3600
R1,7,36.1952,98.1000
R1,8,36.1800,97.5600
R1,9,37.9582,97.9800
R1,10,37.9060,97.8200
R1,11,37.8606,97.5800
R1,12,37.8400,97.5800
R1,13,37.8574,97.8600
R1,14,39.2928,97.5800
R1,15,39.2062,97.3600
R1,16,39.2402,97.5600
R1,17,39.1722,97.6400
R1,18,39.0594,97.3400
R1,19,39.1038,97.2600
R1,20,39.0474,97.2400
R1,21,38.9920,97.1000
R1,22,38.9050,96.9000
R1,23,38.8648,97.1000
R1,24,38.8128,96.9600
R1,25,38.7518,96.8200
R1,26,38.6556,96.6400
R1,27,38.4456,95.9000
R1,28,38.6352,96.7600
R1,29,38.6492,96.7000
R1,30,38.6930,96.9800
R1,31,38.5776,96.4000
R1,32,38.5232,96.3400
R1,33,38.4404,96.0600
R1,34,38.5256,96.6800
R1,35,38.4348,96.2200
R1,36,38.3228,96.3000
R1,37,38.3610,96.3200
R1,38,38.2810,96.2200
R1,39,38.1614,95.6000
R1,40,38.1766,95.6800
R1,41,37.9880,95.2800
R1,42,38.0424,95.3600
R1,43,37.9622,95.5600
R1,44,37.8900,95.5400
R1,45,37.8366,95.3600
R1,46,37.7344,95.3400
R1,47,37.6542,95.1200
R1,48,37.5990,95.0600
R1,49,37.4560,94.5800
R1,50,37.4432,94.3800
R1,51,36.9650,93.7800
R1,52,37.0506,94.2000
R1,53,37.1086,94.2600
R1,54,36.9622,93.8200
R1,55,36.8758,93.7400
R1,56,36.8036,93.4800
R1,57,36.6112,93.1200
R1,58,36.5020,92.7800
R1,59,36.3852,92.8200
R1,60,36.2040,92.4200
R1,61,36.1334,92.2800
R1,62,36.1096,92.7000
R1,63,35.9148,92.3600
R1,64,35.6038,91.7400
R1,65,35.5206,91.9200
R1,66,35.3522,91.9400
R1,67,35.1736,91.8400
R1,68,34.9682,91.8600
R1,69,34.8088,92.0200
R1,70,34.6274,91.3200
