"sample_accession","sample_title","patient_id","tissue","sample_median","sample_iqr","sample_min","sample_max","mean_within_tissue_correlation","review_threshold","review_flag"
"GSM494556","Lung Cancer 2T","2","Tumor",6.02836,3.16556,3.0427,14.8903,0.91740062286698,0.895021030283992,FALSE
"GSM494557","Lung Cancer 3T","3","Tumor",6.02836,3.16556,3.0427,14.8903,0.932879060816365,0.895021030283992,FALSE
"GSM494558","Lung Cancer 6T","6","Tumor",6.02783,3.16556,3.0427,14.8903,0.91742157271012,0.895021030283992,FALSE
"GSM494559","Lung Cancer 17T","17","Tumor",6.02919,3.16556,3.0427,14.8903,0.92989254203637,0.895021030283992,FALSE
"GSM494560","Lung Cancer 32T","32","Tumor",6.02836,3.16556,3.0427,14.8903,0.94065486589376,0.895021030283992,FALSE
"GSM494561","Lung Cancer 33T","33","Tumor",6.02836,3.16556,3.0427,14.8903,0.930474159143578,0.895021030283992,FALSE
"GSM494562","Lung Cancer 37T","37","Tumor",6.02836,3.16556,3.0427,14.8903,0.924988620443804,0.895021030283992,FALSE
"GSM494563","Lung Cancer 40T","40","Tumor",6.02836,3.16556,3.0427,14.8903,0.907366604490751,0.895021030283992,FALSE
"GSM494564","Lung Cancer 43T","43","Tumor",6.02836,3.16556,3.0427,14.8903,0.934439945392944,0.895021030283992,FALSE
"GSM494565","Lung Cancer 79T","79","Tumor",6.02836,3.16556,3.0427,14.8903,0.937409062720984,0.895021030283992,FALSE
"GSM494566","Lung Cancer 91T","91","Tumor",6.02836,3.16556,3.0427,14.8903,0.942854938797899,0.895021030283992,FALSE
"GSM494567","Lung Cancer 92T","92","Tumor",6.02836,3.16556,3.0427,14.8903,0.942155404427254,0.895021030283992,FALSE
"GSM494568","Lung Cancer 94T","94","Tumor",6.02836,3.16556,3.0427,14.8903,0.93764859489363,0.895021030283992,FALSE
"GSM494569","Lung Cancer 97T","97","Tumor",6.02836,3.16556,3.0427,14.8903,0.932551390119521,0.895021030283992,FALSE
"GSM494570","Lung Cancer 102T","102","Tumor",6.02836,3.16556,3.0427,14.8903,0.931029534378636,0.895021030283992,FALSE
"GSM494571","Lung Cancer 103T","103","Tumor",6.02836,3.16556,3.0427,14.8903,0.881512168275235,0.895021030283992,TRUE
"GSM494572","Lung Cancer 106T","106","Tumor",6.02813,3.16556,3.0427,14.8903,0.886537216984602,0.895021030283992,TRUE
"GSM494573","Lung Cancer 109T","109","Tumor",6.02836,3.165645,3.0427,14.8903,0.919562098924973,0.895021030283992,FALSE
"GSM494574","Lung Cancer 114T","114","Tumor",6.02836,3.16548,3.0427,14.8903,0.91743292583864,0.895021030283992,FALSE
"GSM494575","Lung Cancer 115T","115","Tumor",6.02836,3.16556,3.0427,14.8903,0.929144194295225,0.895021030283992,FALSE
"GSM494576","Lung Cancer 116T","116","Tumor",6.02836,3.16556,3.0427,14.8903,0.930608059571055,0.895021030283992,FALSE
"GSM494577","Lung Cancer 117T","117","Tumor",6.02836,3.16556,3.0427,14.8903,0.938970909121278,0.895021030283992,FALSE
"GSM494578","Lung Cancer 118T","118","Tumor",6.02836,3.16556,3.0427,14.8903,0.942859731376856,0.895021030283992,FALSE
"GSM494579","Lung Cancer 119T","119","Tumor",6.02836,3.16556,3.0427,14.8903,0.94112209294116,0.895021030283992,FALSE
"GSM494580","Lung Cancer 120T","120","Tumor",6.02836,3.16556,3.0427,14.8903,0.944438597577543,0.895021030283992,FALSE
"GSM494581","Lung Cancer 121T","121","Tumor",6.02836,3.16556,3.0427,14.8903,0.94311728566385,0.895021030283992,FALSE
"GSM494582","Lung Cancer 122T","122","Tumor",6.02836,3.16556,3.0427,14.8903,0.894643758846693,0.895021030283992,TRUE
"GSM494583","Lung Cancer 123T","123","Tumor",6.02836,3.16552,3.0427,14.8903,0.940183711116693,0.895021030283992,FALSE
"GSM494584","Lung Cancer 124T","124","Tumor",6.02836,3.16556,3.0427,14.8903,0.946552143970654,0.895021030283992,FALSE
"GSM494585","Lung Cancer 125T","125","Tumor",6.02836,3.16556,3.0427,14.8903,0.935053231803333,0.895021030283992,FALSE
"GSM494586","Lung Cancer 126T","126","Tumor",6.02836,3.16556,3.0427,14.8903,0.914706728973557,0.895021030283992,FALSE
"GSM494587","Lung Cancer 127T","127","Tumor",6.02836,3.16556,3.0427,14.8903,0.941375487184145,0.895021030283992,FALSE
"GSM494588","Lung Cancer 129T","129","Tumor",6.02836,3.16556,3.0427,14.8903,0.935554757783524,0.895021030283992,FALSE
"GSM494589","Lung Cancer 130T","130","Tumor",6.02836,3.16556,3.0427,14.8903,0.926323027400892,0.895021030283992,FALSE
"GSM494590","Lung Cancer 131T","131","Tumor",6.02836,3.16556,3.0427,14.8903,0.907125727961189,0.895021030283992,FALSE
"GSM494591","Lung Cancer 132T","132","Tumor",6.02836,3.16556,3.0427,14.8903,0.899855974418994,0.895021030283992,FALSE
"GSM494592","Lung Cancer 133T","133","Tumor",6.02836,3.16556,3.0427,14.8903,0.935833484446743,0.895021030283992,FALSE
"GSM494593","Lung Cancer 134T","134","Tumor",6.02836,3.16556,3.0427,14.8903,0.941847993234295,0.895021030283992,FALSE
"GSM494594","Lung Cancer 135T","135","Tumor",6.02836,3.16556,3.0427,14.8903,0.902832272762383,0.895021030283992,FALSE
"GSM494595","Lung Cancer 136T","136","Tumor",6.02836,3.16556,3.0427,14.8903,0.933871208482392,0.895021030283992,FALSE
"GSM494596","Lung Cancer 137T","137","Tumor",6.02836,3.16505,3.0427,14.8903,0.840339638630773,0.895021030283992,TRUE
