probe_id,primary_mean_log2_fold_change,primary_t_statistic,primary_p_value,primary_fdr,primary_significant,sensitivity_mean_log2_fold_change,sensitivity_t_statistic,sensitivity_p_value,sensitivity_fdr,sensitivity_significant,robust,direction,gene_symbol,gene_id,gene_title
1007_s_at,0.8132623333333332,9.558966778715487,1.3549241182165857e-13,4.083818972629097e-12,False,0.8464709433962263,10.818123336886567,6.4133630523885635e-15,2.490416369952732e-13,False,False,Higher in tumor,MIR4640///DDR1,100616237///780,microRNA 4640///discoidin domain receptor tyrosine kinase 1
1053_at,0.4307688333333334,5.489468970961108,8.93275405741189e-07,5.306946953047866e-06,False,0.45115188679245277,5.7572872254054275,4.641372329657619e-07,2.6813929852496864e-06,False,False,Higher in tumor,RFC2,5982,replication factor C subunit 2
117_at,-0.13458266666666677,-1.317245888605681,0.1928491542757413,0.2736149966272098,False,-0.16846000000000008,-1.6184327085158334,0.11161973606942996,0.16943775527780783,False,False,Lower in tumor,HSPA6,3310,heat shock protein family A (Hsp70) member 6
121_at,0.10784599999999987,3.105849816596224,0.0029149972874077173,0.007378928500811006,False,0.11162452830188671,3.1432456371194024,0.0027591384481165447,0.006663936786852112,False,False,Higher in tumor,PAX8,7849,paired box 8
1255_g_at,0.18715900000000005,2.9972305616357446,0.003981771199847932,0.009714995776325838,False,0.20707018867924532,2.9752794236897326,0.004432625896243606,0.010151426248885688,False,False,Higher in tumor,GUCA1A,2978,guanylate cyclase activator 1A
1294_at,-0.18631566666666657,-3.966559323020756,0.0001999260875773229,0.0006855414762176312,False,-0.17448603773584895,-3.8047155450117014,0.00037531312279192485,0.001122490289844565,False,False,Lower in tumor,MIR5193///UBA7,100847079///7318,microRNA 5193///ubiquitin like modifier activating enzyme 7
1316_at,-0.05438116666666669,-1.9086481122134558,0.06117581275961024,0.10411465985904532,False,-0.062445094339622656,-2.0644803588350507,0.04397641220051152,0.07613953377443768,False,False,Lower in tumor,THRA,7067,"thyroid hormone receptor, alpha"
1320_at,-0.6514661666666668,-7.760688401990055,1.3905459645346195e-10,1.933081632619637e-09,False,-0.6868090566037738,-7.814137674930145,2.506090037223681e-10,2.9510178038568443e-09,False,False,Lower in tumor,PTPN21,11099,"protein tyrosine phosphatase, non-receptor type 21"
1405_i_at,-0.7896121666666668,-4.799319539876437,1.1251479691260252e-05,5.217766345374506e-05,False,-0.6877764150943397,-4.344682981969838,6.49046506906981e-05,0.00023321909677404828,False,False,Lower in tumor,CCL5,6352,C-C motif chemokine ligand 5
1431_at,-0.050334666666666666,-0.8710417897188997,0.3872618607700808,0.4832818003652919,False,-0.09243245283018868,-3.1483570012533906,0.002719013906350165,0.006577095311670807,False,False,Lower in tumor,CYP2E1,1571,cytochrome P450 family 2 subfamily E member 1
