probe_id,primary_mean_log2_fold_change,primary_t_statistic,primary_p_value,primary_fdr,primary_significant,sensitivity_mean_log2_fold_change,sensitivity_t_statistic,sensitivity_p_value,sensitivity_fdr,sensitivity_significant,robust,direction,gene_symbol,gene_id,gene_title
215918_s_at,-2.509099999999999,-20.321450979338266,2.526707063444147e-28,1.3814770869380872e-23,True,-2.6598218867924524,-23.47605733482539,2.433127139856705e-29,1.3303122637166534e-24,True,True,Lower in tumor,SPTBN1,6711,"spectrin beta, non-erythrocytic 1"
217046_s_at,-3.462918666666666,-19.966179419977244,6.281181607677503e-28,1.7171180219988375e-23,True,-3.5806971698113195,-21.47717775295739,1.6265079514558533e-27,2.2232330561462194e-23,True,True,Lower in tumor,AGER,177,advanced glycosylation end-product specific receptor
206209_s_at,-3.869421166666668,-19.247864957936983,4.110972474721837e-27,7.492247335180548e-23,True,-4.003873773584906,-20.721654477956477,8.64846380347952e-27,7.880912640920714e-23,True,True,Lower in tumor,CA4,762,carbonic anhydrase 4
202524_s_at,-2.471313666666666,-18.790561408103624,1.3965713602337756e-26,1.908938478019542e-22,True,-2.5086707547169813,-18.830500770764665,7.054547055804911e-25,1.4285457788004945e-21,True,True,Lower in tumor,SPOCK2,9806,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
209469_at,-3.615811833333334,-18.660536397584853,1.9850772004463386e-26,2.170681918688071e-22,True,-3.7867001886792453,-20.642164004502227,1.0339576562520008e-26,8.075947836511163e-23,True,True,Lower in tumor,GPM6A,2823,glycoprotein M6A
1557729_at,-1.7700329999999993,-18.49467122120704,3.116698671749592e-26,2.840091664631816e-22,True,-1.8815624528301884,-20.49787395733259,1.4318508956174988e-26,9.785805964735843e-23,True,True,Lower in tumor,GRK5,2869,G protein-coupled receptor kinase 5
206208_at,-2.5027334999999997,-18.215358961917296,6.705847655360571e-26,4.073802450631547e-22,True,-2.620362264150943,-20.30636790879431,2.2119310907143397e-26,1.3437481376089614e-22,True,True,Lower in tumor,CA4,762,carbonic anhydrase 4
239650_at,-3.1051290000000007,-18.2713425089597,5.74738235268118e-26,4.073802450631547e-22,True,-3.286725849056605,-21.719453522150204,9.613195591638416e-28,1.7520048965761012e-23,True,True,Lower in tumor,NCKAP5,344148,NCK associated protein 5
230469_at,-3.413818500000001,-18.236639370357505,6.323752782626557e-26,4.073802450631547e-22,True,-3.541823207547171,-19.80113893082884,7.076176794807164e-26,2.819596061376758e-22,True,True,Lower in tumor,RTKN2,219790,rhotekin 2
217771_at,2.0691816666666667,17.96855771890571,1.3288726643859267e-25,7.265611292530054e-22,True,2.117254150943397,18.148509514204186,3.745809342582454e-24,5.956567494949746e-21,True,True,Higher in tumor,GOLM1,51280,golgi membrane protein 1
209470_s_at,-4.1984251666666665,-17.81063701226221,2.065571270727586e-25,1.0266828111548251e-21,True,-4.359175094339623,-18.743911245551164,8.698325563548338e-25,1.698503393525019e-21,True,True,Lower in tumor,GPM6A,2823,glycoprotein M6A
242324_x_at,-1.7957621666666665,-17.666208450003463,3.0992996899214277e-25,1.4037922261849448e-21,True,-1.9023692452830188,-19.79249436951556,7.219816160818403e-26,2.819596061376758e-22,True,True,Lower in tumor,CCBE1,147372,collagen and calcium binding EGF domains 1
204396_s_at,-2.5207251666666664,-17.63991065415021,3.3377775839788353e-25,1.4037922261849448e-21,True,-2.632598490566037,-19.29194035558247,2.3385253385856166e-25,7.390752217833612e-22,True,True,Lower in tumor,GRK5,2869,G protein-coupled receptor kinase 5
228540_at,-1.218801666666667,-17.373385178973308,7.105729714201567e-25,2.7020743387329045e-21,True,-1.2622679245283024,-19.134262620465066,3.4026433013188897e-25,9.301976124980515e-22,True,True,Lower in tumor,QKI,9444,"QKI, KH domain containing RNA binding"
238062_at,-2.289723499999999,-17.358529681434238,7.4130983229983665e-25,2.7020743387329045e-21,True,-2.404426981132075,-22.430396602975204,2.1103480777782644e-28,5.76916405762633e-24,True,True,Lower in tumor,GPIHBP1,338328,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
49111_at,-1.3245365,-17.25067468868515,1.0088927658271661e-24,3.3645770753490364e-21,True,-1.3651096226415096,-17.0843167661626,5.56850852339274e-23,4.8326698970872703e-20,True,True,Lower in tumor,ARRB1,408,arrestin beta 1
220027_s_at,-1.9522908333333333,-17.10113906548454,1.5500746605981812e-24,4.7083517815669756e-21,True,-2.062077169811321,-19.809690120299592,6.936946842956747e-26,2.819596061376758e-22,True,True,Lower in tumor,RASIP1,54922,Ras interacting protein 1
213715_s_at,-2.0143558333333336,-17.040645324612086,1.845501407701673e-24,5.3106731297941565e-21,True,-2.090638490566038,-18.97190726807463,5.018649902463278e-25,1.233567809956315e-21,True,True,Lower in tumor,KANK3,256949,KN motif and ankyrin repeat domains 3
