patient_id,tumor_accession,normal_accession,included_in_sensitivity
2,GSM494556,GSM494616,True
3,GSM494557,GSM494617,True
6,GSM494558,GSM494618,True
17,GSM494559,GSM494619,True
32,GSM494560,GSM494620,True
33,GSM494561,GSM494621,True
37,GSM494562,GSM494622,True
40,GSM494563,GSM494623,True
43,GSM494564,GSM494624,True
79,GSM494565,GSM494625,True
91,GSM494566,GSM494626,True
92,GSM494567,GSM494627,True
94,GSM494568,GSM494628,True
97,GSM494569,GSM494629,True
102,GSM494570,GSM494630,True
103,GSM494571,GSM494631,False
106,GSM494572,GSM494632,False
109,GSM494573,GSM494633,True
114,GSM494574,GSM494634,True
115,GSM494575,GSM494635,True
116,GSM494576,GSM494636,True
117,GSM494577,GSM494637,True
118,GSM494578,GSM494638,True
119,GSM494579,GSM494639,True
120,GSM494580,GSM494640,True
121,GSM494581,GSM494641,True
122,GSM494582,GSM494642,False
123,GSM494583,GSM494643,True
124,GSM494584,GSM494644,True
125,GSM494585,GSM494645,True
126,GSM494586,GSM494646,True
127,GSM494587,GSM494647,True
129,GSM494588,GSM494648,True
130,GSM494589,GSM494649,True
131,GSM494590,GSM494650,True
132,GSM494591,GSM494651,True
133,GSM494592,GSM494652,True
134,GSM494593,GSM494653,True
135,GSM494594,GSM494654,False
136,GSM494595,GSM494655,True
137,GSM494596,GSM494656,False
139,GSM494597,GSM494657,False
142,GSM494598,GSM494658,True
143,GSM494599,GSM494659,True
144,GSM494600,GSM494660,True
145,GSM494601,GSM494661,True
146,GSM494602,GSM494662,True
148,GSM494603,GSM494663,True
149,GSM494604,GSM494664,True
152,GSM494605,GSM494665,True
154,GSM494606,GSM494666,True
156,GSM494607,GSM494667,True
157,GSM494608,GSM494668,True
158,GSM494609,GSM494669,True
159,GSM494610,GSM494670,True
165,GSM494611,GSM494671,True
167,GSM494612,GSM494672,True
177,GSM494613,GSM494673,True
179,GSM494614,GSM494674,True
189,GSM494615,GSM494675,False
