gene_id,gene_symbol,gene_title,probe_id,direction,mean_log2_fold_change,fdr_bh,sensitivity_log2_fold_change,sensitivity_fdr_bh
51280,GOLM1,golgi membrane protein 1,217771_at,Higher in tumor,2.0691816666666667,7.265611292530052e-22,2.117254150943397,5.956567494949745e-21
132299,OCIAD2,OCIA domain containing 2,225314_at,Higher in tumor,1.7881208333333332,1.3907613270603255e-20,1.826798679245283,6.13062189242513e-19
5831,PYCR1,pyrroline-5-carboxylate reductase 1,202148_s_at,Higher in tumor,1.3149588333333333,1.86507837991604e-20,1.3532015094339627,5.732208002920062e-20
1300,COL10A1,collagen type X alpha 1 chain,205941_s_at,Higher in tumor,3.7982280000000004,1.9522239356412264e-20,4.037409622641509,5.806012666603127e-20
5832,ALDH18A1,aldehyde dehydrogenase 18 family member A1,222416_at,Higher in tumor,1.0862888333333334,3.320523602726808e-20,1.0971732075471698,3.029541322329171e-19
150696,PROM2,prominin 2,1552797_s_at,Higher in tumor,2.5894668333333346,4.0705943064277014e-20,2.5833194339622647,1.6741524637018799e-18
2524,FUT2,fucosyltransferase 2,210608_s_at,Higher in tumor,1.8658229999999996,7.320982901156614e-20,1.8403318867924527,4.281385360627032e-18
347735,SERINC2,serine incorporator 2,224762_at,Higher in tumor,1.6963555,7.517817638257641e-19,1.716343018867924,1.6527842082034695e-18
1945,EFNA4,ephrin A4,205107_s_at,Higher in tumor,1.6109274999999998,8.2839758935955065e-19,1.7290860377358495,5.172696188013957e-19
6696,SPP1,secreted phosphoprotein 1,209875_s_at,Higher in tumor,4.503354,8.932137174909951e-19,4.814082264150943,6.133797621563237e-20
90861,HN1L,hematological and neurological expressed 1 like,212115_at,Higher in tumor,1.095486,8.932137174909951e-19,1.1295092452830187,1.0199815875865632e-17
6652,SORD,sorbitol dehydrogenase,201563_at,Higher in tumor,1.2910988333333329,9.67567999287076e-19,1.327522264150943,9.178359187726068e-18
23423,TMED3,transmembrane p24 trafficking protein 3,208837_at,Higher in tumor,1.0615035,1.1437635766324928e-18,1.0960996226415092,2.4771351289093317e-18
11015,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,204017_at,Higher in tumor,1.6914218333333335,2.0568111067072746e-18,1.6852984905660378,2.0361984362556643e-17
8507,ENC1,ectodermal-neural cortex 1,201341_at,Higher in tumor,1.2023793333333332,2.683029143220734e-18,1.2771422641509431,1.1556143892401174e-18
8714,ABCC3,ATP binding cassette subfamily C member 3,208161_s_at,Higher in tumor,2.1336093333333332,2.885604001380429e-18,2.1949367924528302,2.2145943352751195e-18
115908,CTHRC1,collagen triple helix repeat containing 1,225681_at,Higher in tumor,3.193161000000001,2.9929646607961948e-18,3.2612881132075477,5.76471574938257e-17
79017,GGCT,gamma-glutamylcyclotransferase,215380_s_at,Higher in tumor,1.1696895,4.239129815849308e-18,1.206422641509434,3.276710125073209e-17
3842,TNPO1,transportin 1,225765_at,Higher in tumor,1.241880333333333,6.359172782229309e-18,1.2786958490566036,1.1029975913121012e-17
8612,PLPP2,phospholipid phosphatase 2,209529_at,Higher in tumor,1.9042388333333335,7.490590060446613e-18,1.8803660377358489,2.1368110846948596e-17
84817,TXNDC17,thioredoxin domain containing 17,224511_s_at,Higher in tumor,1.1648859999999999,1.3116162757110263e-17,1.1961520754716974,3.122242398793274e-17
55974,SLC50A1,solute carrier family 50 member 1,219125_s_at,Higher in tumor,1.1263851666666667,1.912253137831052e-17,1.2251326415094337,5.385938062126196e-19
3149,HMGB3,high mobility group box 3,203744_at,Higher in tumor,1.844335,2.4769789824487762e-17,1.9088971698113206,3.627516997753993e-16
54664,TMEM106B,transmembrane protein 106B,218930_s_at,Higher in tumor,1.369862166666667,3.2159048756943825e-17,1.4562247169811322,1.9943892569685563e-18
1104,RCC1,regulator of chromosome condensation 1,206499_s_at,Higher in tumor,1.2357308333333334,4.024708920630401e-17,1.3205181132075465,3.768760753199098e-17
51809,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,218313_s_at,Higher in tumor,1.4650233333333336,4.31206630714909e-17,1.463019433962264,1.675697675118247e-16
1277,COL1A1,collagen type I alpha 1 chain,202311_s_at,Higher in tumor,2.9983988333333333,5.889785377046926e-17,3.1427428301886793,3.9556786704243664e-16
6768,ST14,suppression of tumorigenicity 14,202005_at,Higher in tumor,1.1202179999999997,5.975482959890249e-17,1.1727599999999998,6.267427770272029e-17
388722,C1orf53,chromosome 1 open reading frame 53,1558508_a_at,Higher in tumor,1.8623838333333327,8.503023051023615e-17,1.9850890566037729,5.335761419507835e-17
9768,KIAA0101,KIAA0101,202503_s_at,Higher in tumor,2.067647333333333,9.504897948695541e-17,2.091426603773585,3.287784907826451e-17
9245,GCNT3,"glucosaminyl (N-acetyl) transferase 3, mucin type",219508_at,Higher in tumor,2.4747301666666663,9.545085209661463e-17,2.4608466037735854,4.02565563097166e-17
27324,TOX3,TOX high mobility group box family member 3,214774_x_at,Higher in tumor,3.1959625000000007,1.3153073864116188e-16,3.284634905660378,1.9742376224066641e-16
27347,STK39,serine/threonine kinase 39,202786_at,Higher in tumor,1.3767428333333336,1.3537787599301328e-16,1.404140754716981,2.4373059682447167e-17
124540,MSI2,musashi RNA binding protein 2,225240_s_at,Higher in tumor,1.1595891666666671,1.540550833811189e-16,1.1180043396226416,4.478170522724032e-17
1382,CRABP2,cellular retinoic acid binding protein 2,202575_at,Higher in tumor,2.3049745,2.1117053245998505e-16,2.4308564150943393,1.9389718186406334e-15
