"term_id","database","direction","background_size","input_size","term_size","overlap_count","expected_overlap","enrichment_ratio","p_value","overlapping_gene_keys","overlapping_gene_symbols","fdr_bh","term_name","namespace","experimental_input_size","experimental_term_size","experimental_overlap_count","experimental_enrichment_ratio","experimental_p_value","experimental_fdr_bh","experimental_supported"
"GO:1903047","GO Biological Process","Higher in tumor",14764,371,451,47,11.3330398266053,4.14716622539908,8.04326246009651e-17,"ANLN;AURKA;BIRC5;BUB1;BUB1B;CCNA2;CCNB1;CCNB2;CCNE2;CDC20;CDC6;CDK1;CDKN3;CENPF;CENPK;CEP55;CHEK1;DLGAP5;ECT2;FOXM1;GINS1;IQGAP3;KIF11;KIF14;KIF15;KIF20A;KIF2C;KIF4A;KNL1;MAD2L1;MCM2;MCM4;MELK;NCAPG;NDC80;NEK2;NUF2;NUSAP1;PRC1;RCC1;STIL;TK1;TPX2;TTK;UBE2C;UHRF1;ZWINT","ANLN;AURKA;BIRC5;BUB1;BUB1B;CCNA2;CCNB1;CCNB2;CCNE2;CDC20;CDC6;CDK1;CDKN3;CENPF;CENPK;CEP55;CHEK1;DLGAP5;ECT2;FOXM1;GINS1;IQGAP3;KIF11;KIF14;KIF15;KIF20A;KIF2C;KIF4A;KNL1;MAD2L1;MCM2;MCM4;MELK;NCAPG;NDC80;NEK2;NUF2;NUSAP1;PRC1;RCC1;STIL;TK1;TPX2;TTK;UBE2C;UHRF1;ZWINT",9.83690998869803e-14,"mitotic cell cycle process","biological_process",278,280,29,3.61494090441932,1.64790585488169e-09,1.55609395725256e-07,TRUE
"GO:0007088","GO Biological Process","Higher in tumor",14764,371,115,21,2.88979951232728,7.26694011484824,8.79705852853257e-13,"AURKA;BIRC5;BUB1;BUB1B;CCNB1;CDC20;CENPF;CHEK1;DLGAP5;EGF;KNL1;MAD2L1;MKI67;NDC80;NEK2;NUF2;NUSAP1;RCC1;TTK;UBE2C;ZWINT","AURKA;BIRC5;BUB1;BUB1B;CCNB1;CDC20;CENPF;CHEK1;DLGAP5;EGF;KNL1;MAD2L1;MKI67;NDC80;NEK2;NUF2;NUSAP1;RCC1;TTK;UBE2C;ZWINT",5.37940129019767e-10,"regulation of mitotic nuclear division","biological_process",278,67,16,8.33501556963385,4.05585086874207e-11,2.68091742423851e-08,TRUE
"GO:0051783","GO Biological Process","Higher in tumor",14764,371,127,21,3.19134380926578,6.58030010399643,6.52585814898347e-12,"AURKA;BIRC5;BUB1;BUB1B;CCNB1;CDC20;CENPF;CHEK1;DLGAP5;EGF;KNL1;MAD2L1;MKI67;NDC80;NEK2;NUF2;NUSAP1;RCC1;TTK;UBE2C;ZWINT","AURKA;BIRC5;BUB1;BUB1B;CCNB1;CDC20;CENPF;CHEK1;DLGAP5;EGF;KNL1;MAD2L1;MKI67;NDC80;NEK2;NUF2;NUSAP1;RCC1;TTK;UBE2C;ZWINT",2.66037483873559e-09,"regulation of nuclear division","biological_process",278,71,16,7.86543722768264,1.0422427118074e-10,3.31574171282899e-08,TRUE
"GO:0140014","GO Biological Process","Higher in tumor",14764,371,150,22,3.76930371173124,5.83662174303684,2.3990414389081e-11,"AURKA;BIRC5;CCNB1;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;NCAPG;NDC80;NUF2;NUSAP1;PRC1;RCC1;TPX2;TTK;UBE2C;UHRF1;ZWINT","AURKA;BIRC5;CCNB1;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;NCAPG;NDC80;NUF2;NUSAP1;PRC1;RCC1;TPX2;TTK;UBE2C;UHRF1;ZWINT",6.58377566534092e-09,"mitotic nuclear division","biological_process",278,112,14,4.36285971223022,3.5124625915679e-06,8.9297606654861e-05,TRUE
"GO:0000280","GO Biological Process","Higher in tumor",14764,371,265,29,6.65910322405852,4.35494075166556,2.69164990406415e-11,"AURKA;BIRC5;BRIP1;CCNB1;CENPK;DLGAP5;FIGNL1;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MND1;NCAPG;NDC80;NUF2;NUSAP1;P3H4;PRC1;PTTG1;RCC1;TDRKH;TOP2A;TPX2;TTK;UBE2C;UHRF1;ZWINT","AURKA;BIRC5;BRIP1;CCNB1;CENPK;DLGAP5;FIGNL1;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MND1;NCAPG;NDC80;NUF2;NUSAP1;P3H4;PRC1;PTTG1;RCC1;TDRKH;TOP2A;TPX2;TTK;UBE2C;UHRF1;ZWINT",6.58377566534092e-09,"nuclear division","biological_process",278,122,15,4.29133742186579,1.93801136093273e-06,5.12410203830615e-05,TRUE
"GO:0098813","GO Biological Process","Higher in tumor",14764,371,192,24,4.82470875101598,4.9743935309973,9.24558781224378e-11,"BIRC5;CCNB1;CENPF;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MND1;NCAPG;NDC80;NUF2;NUSAP1;P3H4;PRC1;PTTG1;TOP2A;TPX2;TTK;UHRF1;ZWINT","BIRC5;CCNB1;CENPF;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MND1;NCAPG;NDC80;NUF2;NUSAP1;P3H4;PRC1;PTTG1;TOP2A;TPX2;TTK;UHRF1;ZWINT",1.88455898239569e-08,"nuclear chromosome segregation","biological_process",278,120,16,4.6537170263789,2.85823627402325e-07,9.9436535638388e-06,TRUE
"GO:0000819","GO Biological Process","Higher in tumor",14764,371,134,20,3.36724464914657,5.93957436536992,1.42753572856968e-10,"BIRC5;CCNB1;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;NCAPG;NDC80;NUF2;NUSAP1;PRC1;TOP2A;TPX2;TTK;UHRF1;ZWINT","BIRC5;CCNB1;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;NCAPG;NDC80;NUF2;NUSAP1;PRC1;TOP2A;TPX2;TTK;UHRF1;ZWINT",2.49410885148673e-08,"sister chromatid segregation","biological_process",278,101,13,4.4924496046727,5.66902015145641e-06,0.000133829368575453,TRUE
"GO:0007059","GO Biological Process","Higher in tumor",14764,371,268,28,6.73448929829315,4.15770205575894,1.78657446981597e-10,"BIRC5;CCNB1;CENPF;CENPK;CENPU;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MKI67;MND1;NCAPG;NDC80;NEK2;NUF2;NUSAP1;P3H4;PRC1;PTTG1;RCC1;TOP2A;TPX2;TTK;UHRF1;ZWINT","BIRC5;CCNB1;CENPF;CENPK;CENPU;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MKI67;MND1;NCAPG;NDC80;NEK2;NUF2;NUSAP1;P3H4;PRC1;PTTG1;RCC1;TOP2A;TPX2;TTK;UHRF1;ZWINT",2.73122572073116e-08,"chromosome segregation","biological_process",278,163,20,4.28256168071678,3.77796773675321e-08,1.7837404814242e-06,TRUE
"GO:0048285","GO Biological Process","Higher in tumor",14764,371,288,29,7.23706312652398,4.0071503444145,2.02656499561179e-10,"AURKA;BIRC5;BRIP1;CCNB1;CENPK;DLGAP5;FIGNL1;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MND1;NCAPG;NDC80;NUF2;NUSAP1;P3H4;PRC1;PTTG1;RCC1;TDRKH;TOP2A;TPX2;TTK;UBE2C;UHRF1;ZWINT","AURKA;BIRC5;BRIP1;CCNB1;CENPK;DLGAP5;FIGNL1;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;MND1;NCAPG;NDC80;NUF2;NUSAP1;P3H4;PRC1;PTTG1;RCC1;TDRKH;TOP2A;TPX2;TTK;UBE2C;UHRF1;ZWINT",2.75387665514802e-08,"organelle fission","biological_process",278,140,15,3.73959403905447,1.08374694164603e-05,0.000204673350979437,TRUE
"GO:0030198","GO Biological Process","Higher in tumor",14764,371,208,24,5.22676781360065,4.59174787476674,4.93109677385974e-10,"ADAMTS12;COL10A1;COL11A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL8A2;COMP;FERMT1;GREM1;IBSP;MMP1;MMP10;MMP11;MMP12;MMP13;MMP7;MMP9;P3H4;PLOD2;SPINK5;SULF1","ADAMTS12;COL10A1;COL11A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL8A2;COMP;FERMT1;GREM1;IBSP;MMP1;MMP10;MMP11;MMP12;MMP13;MMP7;MMP9;P3H4;PLOD2;SPINK5;SULF1",5.5487764209368e-08,"extracellular matrix organization","biological_process",278,46,8,6.07006568658117,4.15865418596368e-05,0.000610860092649332,TRUE
