"term_id","database","direction","background_size","input_size","term_size","overlap_count","expected_overlap","enrichment_ratio","p_value","overlapping_gene_keys","overlapping_gene_symbols","fdr_bh","term_name","namespace","experimental_input_size","experimental_term_size","experimental_overlap_count","experimental_enrichment_ratio","experimental_p_value","experimental_fdr_bh","experimental_supported","representative_rank","redundancy_threshold"
"GO:1903047","GO Biological Process","Higher in tumor",14764,371,451,47,11.3330398266053,4.14716622539908,8.04326246009651e-17,"ANLN;AURKA;BIRC5;BUB1;BUB1B;CCNA2;CCNB1;CCNB2;CCNE2;CDC20;CDC6;CDK1;CDKN3;CENPF;CENPK;CEP55;CHEK1;DLGAP5;ECT2;FOXM1;GINS1;IQGAP3;KIF11;KIF14;KIF15;KIF20A;KIF2C;KIF4A;KNL1;MAD2L1;MCM2;MCM4;MELK;NCAPG;NDC80;NEK2;NUF2;NUSAP1;PRC1;RCC1;STIL;TK1;TPX2;TTK;UBE2C;UHRF1;ZWINT","ANLN;AURKA;BIRC5;BUB1;BUB1B;CCNA2;CCNB1;CCNB2;CCNE2;CDC20;CDC6;CDK1;CDKN3;CENPF;CENPK;CEP55;CHEK1;DLGAP5;ECT2;FOXM1;GINS1;IQGAP3;KIF11;KIF14;KIF15;KIF20A;KIF2C;KIF4A;KNL1;MAD2L1;MCM2;MCM4;MELK;NCAPG;NDC80;NEK2;NUF2;NUSAP1;PRC1;RCC1;STIL;TK1;TPX2;TTK;UBE2C;UHRF1;ZWINT",9.83690998869803e-14,"mitotic cell cycle process","biological_process",278,280,29,3.61494090441932,1.64790585488169e-09,1.55609395725256e-07,TRUE,1,0.5
"GO:0007088","GO Biological Process","Higher in tumor",14764,371,115,21,2.88979951232728,7.26694011484824,8.79705852853257e-13,"AURKA;BIRC5;BUB1;BUB1B;CCNB1;CDC20;CENPF;CHEK1;DLGAP5;EGF;KNL1;MAD2L1;MKI67;NDC80;NEK2;NUF2;NUSAP1;RCC1;TTK;UBE2C;ZWINT","AURKA;BIRC5;BUB1;BUB1B;CCNB1;CDC20;CENPF;CHEK1;DLGAP5;EGF;KNL1;MAD2L1;MKI67;NDC80;NEK2;NUF2;NUSAP1;RCC1;TTK;UBE2C;ZWINT",5.37940129019767e-10,"regulation of mitotic nuclear division","biological_process",278,67,16,8.33501556963385,4.05585086874207e-11,2.68091742423851e-08,TRUE,2,0.5
"GO:0140014","GO Biological Process","Higher in tumor",14764,371,150,22,3.76930371173124,5.83662174303684,2.3990414389081e-11,"AURKA;BIRC5;CCNB1;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;NCAPG;NDC80;NUF2;NUSAP1;PRC1;RCC1;TPX2;TTK;UBE2C;UHRF1;ZWINT","AURKA;BIRC5;CCNB1;CENPK;DLGAP5;KIF11;KIF14;KIF15;KIF2C;KIF4A;KNL1;NCAPG;NDC80;NUF2;NUSAP1;PRC1;RCC1;TPX2;TTK;UBE2C;UHRF1;ZWINT",6.58377566534092e-09,"mitotic nuclear division","biological_process",278,112,14,4.36285971223022,3.5124625915679e-06,8.9297606654861e-05,TRUE,3,0.5
"GO:0030198","GO Biological Process","Higher in tumor",14764,371,208,24,5.22676781360065,4.59174787476674,4.93109677385974e-10,"ADAMTS12;COL10A1;COL11A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL8A2;COMP;FERMT1;GREM1;IBSP;MMP1;MMP10;MMP11;MMP12;MMP13;MMP7;MMP9;P3H4;PLOD2;SPINK5;SULF1","ADAMTS12;COL10A1;COL11A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL8A2;COMP;FERMT1;GREM1;IBSP;MMP1;MMP10;MMP11;MMP12;MMP13;MMP7;MMP9;P3H4;PLOD2;SPINK5;SULF1",5.5487764209368e-08,"extracellular matrix organization","biological_process",278,46,8,6.07006568658117,4.15865418596368e-05,0.000610860092649332,TRUE,4,0.5
"GO:0007094","GO Biological Process","Higher in tumor",14764,371,28,10,0.703603359523164,14.2125529457066,7.80327975833993e-10,"BIRC5;BUB1;BUB1B;CDC20;CENPF;MAD2L1;NDC80;NUF2;TTK;ZWINT","BIRC5;BUB1;BUB1B;CDC20;CENPF;MAD2L1;NDC80;NUF2;TTK;ZWINT",5.85275618708957e-08,"mitotic spindle assembly checkpoint signaling","biological_process",278,18,6,11.6342925659472,7.27881739419192e-06,0.000150353071798777,TRUE,5,0.5
"GO:0090068","GO Biological Process","Higher in tumor",14764,371,221,24,5.55344080195069,4.32164505860399,1.70557254044311e-09,"AURKA;BIRC5;BUB1;CCNB1;CCNE2;CDC20;CDC6;CDK1;DLGAP5;E2F8;ECT2;EGF;EGFR;EZH2;FEN1;KIF14;MAD2L1;NCAPG;NDC80;NUSAP1;RCC1;RRM2;STIL;UBE2C","AURKA;BIRC5;BUB1;CCNB1;CCNE2;CDC20;CDC6;CDK1;DLGAP5;E2F8;ECT2;EGF;EGFR;EZH2;FEN1;KIF14;MAD2L1;NCAPG;NDC80;NUSAP1;RCC1;RRM2;STIL;UBE2C",9.0691965954866e-08,"positive regulation of cell cycle process","biological_process",278,155,19,4.27841726618705,8.49548060953976e-08,3.50969542681611e-06,TRUE,6,0.5
"GO:1905330","GO Biological Process","Higher in tumor",14764,371,47,11,1.18104849634245,9.3137581005907,1.68431220364286e-08,"ADAMTS12;EGF;GREM1;HOXB7;LCN2;LGR4;MDK;SIX1;SIX4;SOX9;SULF1","ADAMTS12;EGF;GREM1;HOXB7;LCN2;LGR4;MDK;SIX1;SIX4;SOX9;SULF1",5.7219828473756e-07,"regulation of morphogenesis of an epithelium","biological_process",278,20,3,5.23543165467626,0.0184875294295817,0.0675152317842733,FALSE,7,0.5
"GO:0032963","GO Biological Process","Higher in tumor",14764,371,51,11,1.28156326198862,8.58326726917182,4.20873468547693e-08,"COL1A1;COL5A1;MMP1;MMP10;MMP11;MMP12;MMP13;MMP7;MMP9;P3H4;PLOD2","COL1A1;COL5A1;MMP1;MMP10;MMP11;MMP12;MMP13;MMP7;MMP9;P3H4;PLOD2",1.25543476105812e-06,"collagen metabolic process","biological_process",278,24,5,7.27143285371703,0.000505932153757628,0.0060803846115235,TRUE,8,0.5
"GO:0030199","GO Biological Process","Higher in tumor",14764,371,57,11,1.43233541045787,7.67976545136426,1.42446994689665e-07,"ADAMTS12;COL11A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COMP;GREM1;P3H4;PLOD2","ADAMTS12;COL11A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COMP;GREM1;P3H4;PLOD2",3.90496289232682e-06,"collagen fibril organization","biological_process",278,11,6,19.0379332897319,2.14662566363003e-07,7.88288646477471e-06,TRUE,9,0.5
"GO:1901987","GO Biological Process","Higher in tumor",14764,371,403,29,10.1268626388513,2.86367071759646,3.78896959024851e-07,"ANLN;AURKA;BIRC5;BRIP1;BUB1;BUB1B;CCNB1;CCNE2;CDC20;CDC6;CDK1;CDKN2A;CENPF;CHEK1;DLGAP5;EGFR;EZH2;KIF14;KNL1;MAD2L1;NDC80;NUF2;PDIK1L;RRM2;SOX2;STIL;TTK;UBE2C;ZWINT","ANLN;AURKA;BIRC5;BRIP1;BUB1;BUB1B;CCNB1;CCNE2;CDC20;CDC6;CDK1;CDKN2A;CENPF;CHEK1;DLGAP5;EGFR;EZH2;KIF14;KNL1;MAD2L1;NDC80;NUF2;PDIK1L;RRM2;SOX2;STIL;TTK;UBE2C;ZWINT",9.85938257207218e-06,"regulation of cell cycle phase transition","biological_process",278,242,22,3.17298888162197,1.59922045323257e-06,4.40451966494472e-05,TRUE,10,0.5
